파일명	전체 pptx
패스트캠퍼스_교육제안서_선진_생성형AI 리더십 및 인사이트 과정_vf.txt	https://drive.google.com/file/d/1Dko0MxjCKaMkB6qIgFTBc6JBDbogs9Nh/view
(vf)패스트캠퍼스_교육제안서_대우건설_AI리터러시 과정_250725.txt	https://drive.google.com/file/d/1sZh7sA15BSYeLBj_qgzEHl0SowYen9me/view
패스트캠퍼스_교육제안서_서울신문사_생성형AI교육_250725.txt	https://drive.google.com/file/d/1h1Q2zZVPNreMeAZwMhWsUSE916XSCn1o/view
패스트캠퍼스_교육제안서_농협손해보험_생성형AI교육.txt	https://drive.google.com/file/d/1cj9KIK14cECj1YASMlB_KeZwwkhcUyaO/view
패스트캠퍼스_교육 제안서_SK석유화학_생성형 AI 과정_2504.txt	https://drive.google.com/file/d/1Lf8cZo-B8DzROi1p7Ynkx9-vZ69iti3T/view
패스트캠퍼스_교육제안서_한솔PNS IT_RAG&MCP과정.txt	https://drive.google.com/file/d/1vFnwP2dW31bHR1_EQ6zMdZJFuSKOrh93/view
패스트캠퍼스_교육제안서_홈앤서비스_2025년 AI 활용 DT 전문가 양성 과정_20250516.txt	https://drive.google.com/file/d/1sfRgwylfxpHAnatErhYMGgR8yzuBIATF/view
패스트캠퍼스_교육제안서_SK에너지_생성형 AI를 활용한 채용 업무 효율화 과정_250721.txt	https://drive.google.com/file/d/1eCQwcMDkAqgr3OFYqGTzWd6vvUa_6dNl/view
패스트캠퍼스_교육제안서_삼성물산_2025년 생성형AI 활용 과정_250213.txt	https://drive.google.com/file/d/1PqBiAb467Rvs2mOWRwO56-E3mCtwrv7b/view
패스트캠퍼스_교육 컨셉제안서_HS효성_2025 DT, AI 교육체계 수립_250120.txt	https://drive.google.com/file/d/1GP6nLtLeDEDT8YtQroTlzblWy4Jh2kEY/view
패스트캠퍼스_제안서_한국문화진흥_생성형 AI 기술 교육_240202.txt	https://drive.google.com/file/d/1WkTwjrgPBs16oMGYLbeWV6BQrfUfmAN6/view
패스트캠퍼스_교육제안서_SK실트론_SK실트론 26년도 직무 역량 강화 과정 (파이썬, 생성형AI)_250717.txt	https://drive.google.com/file/d/1jldc6lYz4lw6hGm-clWAt4Z3QsD9zyyJ/view
★패스트캠퍼스_교육제안서_삼성물산_생성형 AI 기반 안전보건 데이터 교육_VF.txt	https://drive.google.com/file/d/1MGvezS7NKsMfHsx4JCZD24dtE-Aukwp0/view
패스트캠퍼스_교육 커리큘럼_현대모비스_'25 직무 교육 과정(멀티모달리티 과정)_250716.txt	https://drive.google.com/file/d/1t-P4X2aaMUL-Dz4BabqbKg-WGPCYQIHV/view
패스트캠퍼스_교육제안서_현대모비스_AI직무교육과정_250203.txt	https://drive.google.com/file/d/1adxdcTGY4aUOUusuKAeiI3fjBmOnS36_/view
